Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Don Ackerman,1954,1954,1,28,220,14,63,,,15,28,,15,23,,,,43,43,.222,,.536,7.9,1.5,0.5,0.8
2,Quincy Acy,2015,2015,1,68,1287,152,331,18,60,76,97,79,301,68,27,22,60,147,398,.459,.300,.784,18.9,5.9,4.4,1.0
3,Arron Afflalo,2016,2016,1,22,681,124,259,25,77,31,38,9,88,40,5,3,21,50,304,.479,.325,.816,31.0,13.8,4.0,1.8
4,Henry Akin,1967,1967,1,50,453,83,230,,,26,37,,120,25,,,,82,192,.361,,.703,9.1,3.8,2.4,0.5
5,Cole Aldrich,2014,2015,2,107,1306,177,362,0,0,76,94,138,467,89,45,95,77,162,430,.489,,.809,12.2,4.0,4.4,0.8
6,Lou Amundson,2015,2016,2,54,969,119,273,0,1,45,98,101,279,70,26,55,61,136,283,.436,.000,.459,17.9,5.2,5.2,1.3
7,Bob Anderegg,1960,1960,1,33,373,55,143,,,23,42,,69,29,,,,32,133,.385,,.548,11.3,4.0,2.1,0.9
8,Eric Anderson,1993,1994,2,27,83,12,35,2,2,16,27,12,31,5,3,2,7,23,42,.343,1.000,.593,3.1,1.6,1.1,0.2
9,Shandon Anderson,2002,2005,4,245,5321,635,1476,127,410,336,458,175,726,285,189,52,330,495,1733,.430,.310,.734,21.7,7.1,3.0,1.2
10,Willie Anderson,1996,1996,1,27,496,56,133,5,25,19,31,13,60,48,17,8,24,59,136,.421,.200,.613,18.4,5.0,2.2,1.8
11,Don Anielak,1955,1955,1,1,10,0,4,,,3,4,,2,0,,,,0,3,.000,,.750,10.0,3.0,2.0,0.0
12,Carmelo Anthony,2011,2016,6,294,10703,2670,6002,550,1463,1673,2012,517,2075,916,301,154,746,832,7563,.445,.376,.832,36.4,25.7,7.1,3.1
13,Greg Anthony,1992,1995,4,293,6146,688,1718,116,400,414,561,125,559,1237,336,41,386,573,1906,.400,.290,.738,21.0,6.5,1.9,4.2
14,Trevor Ariza,2005,2006,2,116,2091,233,535,4,16,163,251,138,379,131,113,27,119,228,633,.436,.250,.649,18.0,5.5,3.3,1.1
15,Dick Atha,1956,1956,1,25,288,36,88,,,21,27,,42,32,,,,39,93,.409,,.778,11.5,3.7,1.7,1.3
16,Jim Baechtold,1954,1957,4,257,6363,875,2255,,,712,895,,790,531,,,,592,2462,.388,,.796,24.8,9.6,3.1,2.1
17,James Bailey,1985,1986,2,122,2542,358,792,0,5,202,275,224,678,89,63,90,199,493,918,.452,.000,.735,20.8,7.5,5.6,0.7
